count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CAPUCCINO_GRANIZADO,CERRADA,7.735,0.38,7.355,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0002,ANANA,CERRADA,7.82,0.38,7.44,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0003,CHOCOLATE_MANI_CRUNCH,CERRADA,7.85,0.38,7.47,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0004,QUINOTO,CERRADA,8.075,0.38,7.694999999999999,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0005,CHOCOLATE_SUIZO,CERRADA,8.0,0.38,7.62,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0006,CHOCOLATE,CERRADA,7.99,0.38,7.61,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0007,CHOCOLATE_BLANCO,CERRADA,8.005,0.38,7.625000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0008,CHOCOLATE_CON_ALMENDRAS,CERRADA,8.015,0.38,7.635000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0009,GRIDO_MARROC,CERRADA,7.97,0.38,7.59,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0010,CREMA_RUSA,CERRADA,7.9,0.38,7.52,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0011,TIRAMISU,CERRADA,7.915,0.38,7.535,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0012,SUPER_GRIDITO,CERRADA,8.215,0.38,7.835,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0013,MENTA_GRANIZADO,CERRADA,8.06,0.38,7.680000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0014,CEREZA,CERRADA,7.775,0.38,7.395,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0015,CHOCOLATE_BLANCO_OREO,CERRADA,7.965,0.38,7.585,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0016,DULCE_DE_LECHE,CERRADA,7.885,0.38,7.505,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0017,DULCE_DE_LECHE_GRANIZADO,CERRADA,7.715,0.38,7.335,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0018,DULCE_DE_LECHE_CON_NUEZ,CERRADA,7.885,0.38,7.505,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0019,SUPER_DULCE_DE_LECHE,CERRADA,8.02,0.38,7.64,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0020,MASCARPONE,CERRADA,7.8,0.38,7.42,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0021,DULCE_DE_LECHE_BROWNIE,CERRADA,8.085,0.38,7.705000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0022,CREMA_COOKIE,CERRADA,7.915,0.38,7.535,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0023,AMERICANA,CERRADA,8.065,0.38,7.685,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0024,TRAMONTANA,CERRADA,8.105,0.38,7.725,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0025,GRANIZADO,CERRADA,8.175,0.38,7.795000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0026,BANANA,CERRADA,8.095,0.38,7.715000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0027,FRUTILLA_A_LA_CREMA,CERRADA,8.095,0.38,7.715000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0028,DURAZNO_A_LA_CREMA,CERRADA,7.65,0.38,7.27,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0029,a,ABIERTA,6.47,0.38,6.09,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0030,b,ABIERTA,7.96,0.38,7.58,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0031,c,ABIERTA,6.495,0.38,6.115,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0032,d,ABIERTA,1.695,0.38,1.315,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0033,e,ABIERTA,8.58,0.38,8.2,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0034,f,ABIERTA,4.71,0.38,4.33,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0035,g,ABIERTA,2.67,0.38,2.29,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0036,h,ABIERTA,6.65,0.38,6.2700000000000005,
